ID,ESG_DISC_SCORE,YEAR
HIL US Equity,11.98349953,2014
HIL US Equity,14.8760004,2015
HIL US Equity,17.35540009,2019
ARTW US Equity,11.15699959,2010
ARTW US Equity,15.28929996,2017
RFIL US Equity,11.15699959,2010
RFIL US Equity,11.98349953,2012
RFIL US Equity,14.04959965,2017
RFIL US Equity,16.52890015,2018
RFIL US Equity,15.28929996,2019
CRMZ US Equity,8.677700043,2010
CRMZ US Equity,11.15699959,2012
CRMZ US Equity,9.91740036,2013
CRMZ US Equity,18.59499931,2017
ZVO US Equity,11.15699959,2010
ZVO US Equity,14.8760004,2017
ZVO US Equity,17.35540009,2020
BSQR US Equity,11.15699959,2010
BSQR US Equity,9.91740036,2014
BSQR US Equity,15.28929996,2017
JVA US Equity,11.15699959,2010
JVA US Equity,15.28929996,2016
JVA US Equity,14.04959965,2017
GNW US Equity,13.5965004,2010
GNW US Equity,17.1053009,2013
GNW US Equity,17.98250008,2014
GNW US Equity,19.29820061,2017
GNW US Equity,32.01750183,2018
EMAN US Equity,16.52890015,2010
NNVC US Equity,7.024799824,2012
NNVC US Equity,9.91740036,2013
NNVC US Equity,14.04959965,2017
CRVW US Equity,6.611599922,2011
CRVW US Equity,8.677700043,2017
DHT US Equity,7.851200104,2013
DHT US Equity,10.74380016,2016
DHT US Equity,13.22309971,2018
DHT US Equity,15.70250034,2019
MNTX US Equity,11.15699959,2010
MNTX US Equity,14.8760004,2017
CPMV US Equity,13.22309971,2010
CPMV US Equity,9.91740036,2018
PNNT US Equity,11.84210014,2010
PNNT US Equity,14.47369957,2016
TNP US Equity,13.22309971,2010
TNP US Equity,14.46280003,2012
TNP US Equity,15.70250034,2015
TNP US Equity,16.52890015,2019
NM US Equity,7.851200104,2010
NM US Equity,11.57019997,2017
UONEK US Equity,11.15699959,2010
UONEK US Equity,14.04959965,2015
IDN US Equity,12.80990028,2010
IDN US Equity,14.04959965,2016
IDN US Equity,14.8760004,2018
OIS US Equity,18.59499931,2010
OIS US Equity,17.35540009,2013
OIS US Equity,16.11569977,2014
OIS US Equity,16.94210052,2015
OIS US Equity,29.33880043,2019
OGEN US Equity,11.15699959,2010
OGEN US Equity,13.22309971,2012
OGEN US Equity,14.04959965,2015
OGEN US Equity,12.80990028,2016
HNRG US Equity,11.20330048,2010
HNRG US Equity,14.10789967,2017
TAST US Equity,11.15699959,2010
TAST US Equity,16.52890015,2016
VIDE US Equity,11.15699959,2012
CLRB US Equity,7.851200104,2010
CLRB US Equity,11.15699959,2014
CLRB US Equity,15.28929996,2016
CNSL US Equity,11.1111002,2010
CNSL US Equity,13.99180031,2015
CNSL US Equity,15.22630024,2016
CNSL US Equity,20.16460037,2017
CNSL US Equity,22.63369942,2019
